aloadp,asolarp
1.0136,-0.017344
0.86995,-0.029771
0.7952,0
0.78728,-0.0030252
1.2821,-0.032584
1.3865,0
0.74932,0
0.71784,-0.0016242
0.71148,-0.027549
0.75962,0
0.78377,-0.019278
0.93933,-0.018215
0.81501,-0.013074
0.79695,0
0.71169,-0.031078
0.72395,-0.0077117
0.72439,-0.018725
0.90267,-0.039889
0.98149,-0.017857
0.93826,0
0.7266,0
0.76852,-0.019762
0.95566,-0.020246
1.0342,0
0.7346,0
0.67241,-0.035924
0.63289,-0.034401
0.5999,-0.0038381
0.75659,0
0.81132,0
0.74755,-0.00025683
0.68382,0
0.7301,-0.044528
0.95271,0
0.9005,-0.034429
0.763,0
0.61733,0
0.62082,0
0.67911,-0.00010308
0.65115,-0.048655
0.69466,-0.078053
0.79074,-0.066199
0.83986,-0.16456
0.9547,-0.19517
0.89614,-0.20999
0.55925,-0.19905
0.64855,-0.27354
0.64698,-0.31584
0.65871,-0.28309
0.73542,-0.40935
0.8029,-0.43768
0.62516,-0.37519
0.66574,-0.43021
0.6474,-0.48518
0.95495,-0.57864
0.84925,-0.94795
0.69618,-0.95513
0.57979,-0.53584
0.61984,-0.67618
0.78306,-1.0765
1.3432,-1.0795
0.86158,-1.1767
0.59343,-1.3141
1.3219,-1.4956
1.8706,-1.1315
1.286,-1.7012
1.1894,-1.9551
1.0547,-2.0768
1.111,-2.2066
1.1728,-2.4058
1.3766,-2.4834
1.378,-2.6192
1.1898,-2.745
1.2319,-2.8678
1.4887,-2.9444
1.472,-3.0562
1.3437,-3.2314
1.1846,-3.3406
1.2293,-3.4441
1.2675,-3.4938
1.2352,-3.5844
1.2614,-3.72
1.1366,-3.7945
1.1017,-3.9485
1.593,-4.0463
1.3565,-4.0621
1.3845,-4.1847
1.2597,-4.2167
1.256,-4.3598
1.291,-4.5007
1.6322,-4.5806
1.6152,-4.587
1.4673,-4.6871
1.5473,-4.7016
1.5762,-4.8168
1.4491,-4.8624
1.4278,-4.8769
1.6648,-4.8834
1.7387,-4.9735
1.8387,-5.0206
1.9609,-5.0403
2.0724,-5.0875
1.8629,-5.137
2.0997,-5.1888
1.9621,-5.2018
2.0548,-5.2414
1.9122,-5.3095
2.3646,-5.3941
2.4161,-5.3439
2.3417,-5.6875
1.9781,-6
1.699,-6
1.1754,-6
2.0117,-6
1.5661,-6
1.9898,-6
1.7189,-6
2.3474,-6
3.5365,-6
5.9169,-6
4.4943,-6
2.3434,-6
2.0135,-6
2.2251,-6
2.2254,-6
2.3642,-6
2.0144,-6
2.091,-6
1.6402,-6
1.7009,-6
2.6883,-6
2.9876,-6
1.4656,-6
1.437,-6
1.5884,-6
1.819,-6
1.7847,-6
2.0262,-6
1.627,-6
1.9742,-6
2.0806,-6
1.6804,-6
1.5594,-6
1.6318,-6
1.6815,-6
1.6102,-6
1.541,-6
1.3844,-6
1.7036,-5.8904
2.1783,-5.9267
1.5127,-2.4944
1.6704,-5.3956
6.6737,-4.0429
7.3266,-3.6871
7.0608,-3.1164
7.6446,-3.4328
7.6033,-3.2962
7.0171,-3.0206
7.3545,-3.375
6.195,-3.5614
4.6843,-3.6272
3.6226,-0.94707
3.1201,-2.3818
3.3402,-4.0685
3.5445,-3.7711
2.4799,-3.2674
3.0689,-2.77
3.6699,-2.8616
2.5458,-2.7155
3.2309,-2.7468
2.6188,-2.6106
3.3172,-1.7472
1.3841,-1.0166
1.3686,-1.3315
1.5,-1.3699
1.5872,-1.357
1.4601,-1.3024
1.4161,-1.1159
1.3121,-0.8757
1.3982,-0.89821
1.4234,-0.93844
1.4305,-0.7571
1.5164,-0.81118
1.8293,-0.67866
1.9101,-0.53431
1.9406,-0.44737
1.8318,-0.38491
1.8253,-0.42159
2.0492,-0.39332
2.0015,-0.3718
1.9375,-0.32706
1.7572,-0.26302
1.7106,-0.23846
1.9665,-0.2638
2.0281,-0.28211
1.9342,-0.32222
1.843,-0.41627
1.9083,-0.41327
2.0169,-0.34104
3.2091,-0.25173
4.0026,-0.26225
2.2383,-0.13384
2.6161,-0.091069
2.7554,-0.12311
2.8236,-0.064355
2.8063,-0.060042
3.1425,-0.057011
2.8847,0
1.8724,-0.030419
1.7573,0
1.7052,-0.036815
1.8764,-0.0044869
2.0096,0
2.1913,0
1.9893,-0.0056609
1.8059,-0.029561
1.7036,-0.050103
1.6625,-0.0043769
1.6487,0
1.6968,-0.013185
1.5809,0
1.7695,0
2.3585,0
1.6714,0
1.7401,-0.026847
1.8113,-0.022802
1.6544,-0.036079
1.4296,0
1.4701,0
1.4046,0
1.3034,0
1.252,0
1.2585,0
1.5236,-0.035137
1.6388,-0.019153
1.4057,0
1.0805,0
1.181,-0.028119
1.2341,0
1.1747,-0.018821
1.0941,-0.020399
1.2739,0
1.4743,-0.018024
1.6834,-0.039877
1.7467,-0.022329
1.6619,-0.013992
1.5858,0
1.7172,0
3.3082,0
2.7794,-0.0085833
1.5385,-0.0064668
1.4063,-0.01706
1.2595,0
1.0751,0
0.88004,0
0.81012,0
0.87188,-0.012978
1.0613,-0.012286
1.0442,-0.035533
0.93038,0
0.95011,-0.023581
0.9501,-0.018888
1.0163,0
1.0965,0
0.90218,0
0.94428,0
2.1788,-0.030207
1.2777,-0.0093407
1.0764,0
0.86083,0
0.65525,-0.027404
0.67031,0
0.91156,-0.039763
0.87395,-0.0090606
0.8155,0
0.69286,-0.027285
0.73364,-0.036594
0.87053,-0.017368
0.80413,-0.013017
0.68211,-0.013178
0.72475,-0.027134
0.59166,-0.044959
0.65409,0
0.67847,-0.0067806
0.58862,0
0.49247,0
0.61433,-0.035765
0.82376,0
0.82074,0
0.78263,0
0.66621,0
0.69041,-0.0040489
1.1394,-0.026371
1.2685,0
0.72063,0
0.68309,0
0.66132,0
0.59142,0
0.77558,0
0.81331,-0.040506
0.71383,0
0.65559,-0.01036
0.60053,0
0.63067,0
0.70187,0
0.79215,-0.012826
0.85594,-0.045776
0.88128,0
0.66487,0
0.70368,0
0.88536,-0.042268
0.87346,0
0.69938,0
0.62315,-0.012164
0.54766,-0.0060833
0.49886,0
0.69618,-0.030598
0.687,0
0.57595,0
0.6157,0
0.68812,-0.036046
0.83951,-0.017761
0.78699,-0.041941
0.72179,-0.041236
0.60221,-0.029387
0.62596,-0.0032728
0.69577,0
0.63398,-0.106
0.72003,-0.035603
0.99153,-0.16562
0.93985,-0.21987
1.0714,-0.27075
1.0864,-0.2696
0.71947,-0.27506
0.76001,-0.28749
0.75696,-0.42435
0.7747,-0.38583
0.85151,-0.47808
0.91307,-0.50715
0.75072,-0.48938
0.77435,-0.46896
0.83122,-0.55023
1.0572,-0.65647
1.0433,-1.1656
0.86553,-1.1409
0.76824,-0.68112
0.71513,-0.78824
0.90634,-1.3352
1.5151,-1.306
1.0411,-1.4023
0.68433,-1.6524
1.5638,-1.8194
2.198,-1.4304
1.58,-2.1571
1.3962,-2.399
1.2846,-2.573
1.3127,-2.8175
1.3875,-2.9302
1.5531,-3.0932
1.5765,-3.2772
1.4588,-3.3911
1.4704,-3.5548
1.6833,-3.705
1.7649,-3.8637
1.5825,-4.013
1.4583,-4.1078
1.4106,-4.262
1.4847,-4.4563
1.4977,-4.4974
1.484,-4.6986
1.3402,-4.7956
1.346,-4.8472
1.8712,-4.989
1.605,-5.1425
1.5935,-5.2242
1.4065,-5.3679
1.3997,-5.4163
1.5084,-5.6226
1.9014,-5.6653
1.8762,-5.7808
1.7387,-5.8427
1.8578,-5.9155
1.8809,-6
1.7385,-6
1.6703,-6
1.8925,-6
2.083,-6
2.0569,-6
2.2505,-6
2.4631,-6
2.2168,-6
2.5178,-6
2.2708,-6
2.4116,-6
2.22,-6
2.7235,-6
2.808,-6
2.7338,-6
2.2744,-6
1.9807,-5.9095
1.4543,-5.6467
2.4718,-5.475
1.8837,-5.5182
2.4686,-5.4965
2.1456,-5.6607
2.8481,-5.6243
4.2171,-5.6054
7.1176,-5.5755
5.3525,-5.6756
2.8208,-5.608
2.5199,-5.5467
2.5919,-5.6348
2.6538,-5.6013
2.841,-5.5217
2.4514,-5.6434
2.5152,-5.6704
1.9113,-5.6246
2.0806,-5.6411
3.1915,-5.5797
3.5906,-5.6095
1.7437,-5.5718
1.7624,-5.5552
1.8551,-5.7246
2.2158,-5.6936
2.2148,-5.6838
2.4027,-5.6699
1.9226,-5.614
2.391,-5.4884
2.4488,-5.4787
2.0621,-5.2512
1.8784,-5.1216
1.9804,-5.1137
2.0256,-5.0771
2.0254,-4.9434
1.8959,-4.9151
1.646,-4.6616
1.9676,-4.464
2.6363,-4.4477
1.8637,-1.8768
1.9451,-4.1195
8,-3.0651
8,-2.7746
8,-2.3641
8,-2.5399
8,-2.5231
8,-2.2927
8,-2.5599
7.4538,-2.6826
5.6195,-2.7351
4.3495,-0.76851
3.7742,-1.7662
4.0581,-3.0263
4.228,-2.8867
3.005,-2.4388
3.6388,-2.0754
4.3831,-2.1881
3.1082,-2.0869
3.8081,-1.9924
3.186,-1.9646
3.9945,-1.3589
1.6903,-0.74195
1.5663,-1.0321
1.8433,-1.0272
1.8609,-1.0337
1.8161,-0.92923
1.7379,-0.8086
1.5623,-0.6583
1.6468,-0.67549
1.6636,-0.67693
1.654,-0.60208
1.6957,-0.70367
1.885,-0.59114
1.9097,-0.4625
1.8752,-0.46144
1.7672,-0.42517
1.7537,-0.372
1.9401,-0.42738
1.9215,-0.34018
1.8722,-0.31798
1.6916,-0.2416
1.6744,-0.24524
1.8875,-0.25681
1.9608,-0.24693
1.8138,-0.33546
1.8093,-0.37378
1.7979,-0.41207
1.9705,-0.34469
3.0769,-0.30254
3.77,-0.20916
2.173,-0.17273
2.4711,-0.14173
2.6409,-0.14531
2.6982,-0.063019
2.6775,-0.083488
2.9488,-0.05278
2.761,-0.06068
1.7008,-0.030239
1.6402,0
1.7131,-0.0096926
1.7163,-0.041102
1.9516,0
2.0901,0
1.84,0
1.7137,0
1.6742,0
1.6318,-0.041582
1.6197,-0.006768
1.6293,-0.01041
1.4638,0
1.672,-0.012359
2.2786,-0.041194
1.6245,0
1.6343,-0.034796
1.7433,-0.050301
1.6188,0
1.3592,-0.014766
1.4241,-0.045733
1.3905,-0.0015063
1.2874,0
1.1868,-0.046152
1.263,0
1.4832,0
1.605,0
1.348,0
1.0703,0
1.1475,0
1.106,0
1.162,0
1.0214,0
1.2066,-0.001545
1.4307,-0.024086
1.6391,-0.009345
1.5826,-0.023026
1.5483,-0.0473
1.4923,0
1.7011,0
3.1456,0
2.6814,0
1.4501,-0.027312
1.352,0
1.2157,0
1.0431,-0.0015105
0.90925,-0.035119
0.85035,0
0.90795,-0.0071176
1.2324,-0.048431
1.1886,-0.049723
1.048,-0.010848
0.9843,-0.037374
1.1197,0
1.1945,0
1.1351,-0.028436
1.0541,-0.025764
1.0796,0
2.4631,-0.027117
1.3666,0
1.134,0
0.92586,-0.024436
0.80064,-0.042548
0.80678,-0.024496
1.0093,0
1.0157,0
0.89071,0
0.81852,0
0.83093,0
0.92412,-0.005455
0.94782,-0.034731
0.80379,-0.047782
0.80392,-0.046751
0.66638,-0.020683
0.73647,-0.04873
0.74494,-0.036519
0.63468,0
0.6249,-0.039788
0.63874,-0.047319
0.93195,0
0.99063,-0.043006
0.84432,0
0.78448,-0.045544
0.78451,0
1.2816,0
1.4427,0
0.73584,-0.039043
0.80171,-0.023942
0.72999,-0.018032
0.72059,-0.0016074
0.86816,-0.032326
0.95684,-0.047274
0.89502,0
0.76382,-0.019209
0.72275,-0.021408
0.67294,-0.023998
0.80276,0
0.90175,-0.0057972
0.9049,0
0.93736,-0.044742
0.81029,-0.0041126
0.7355,0
0.97176,0
1.0073,-0.032522
0.75852,0
0.65546,-0.015087
0.6091,0
0.56208,-0.00051482
0.72855,0
0.78389,0
0.6803,0
0.67398,0
0.76165,0
0.96197,0
0.95236,-0.049184
0.75005,-0.034289
0.6416,-0.0016036
0.61942,-0.007515
0.68446,-0.0018303
0.66187,-0.039308
0.78517,-0.061452
0.91144,-0.12163
0.94149,-0.20486
1.0534,-0.30634
1.0205,-0.19603
0.71524,-0.20547
0.69907,-0.31941
0.74347,-0.43479
0.72127,-0.45388
0.88121,-0.49467
0.88658,-0.56851
0.73042,-0.53936
0.72538,-0.53085
0.76339,-0.59194
1.0353,-0.69009
0.96182,-1.2529
0.78739,-1.2766
0.697,-0.69077
0.64856,-0.85092
0.89345,-1.3632
1.5137,-1.4281
1.0488,-1.5727
0.68408,-1.6948
1.4423,-1.8894
2.1325,-1.4611
1.4893,-2.2938
1.3415,-2.4953
1.2782,-2.7137
1.2025,-2.9824
1.3412,-3.0833
1.5568,-3.2906
1.5692,-3.4574
1.3636,-3.5983
1.4294,-3.7761
1.6172,-3.8786
1.6593,-4.0496
1.564,-4.1866
1.4274,-4.3614
1.3316,-4.4988
1.4934,-4.6034
1.4165,-4.7973
1.4469,-4.9041
1.2867,-5.055
1.2967,-5.1118
1.8382,-5.2565
1.55,-5.411
1.5737,-5.4363
1.3633,-5.6417
1.3889,-5.7281
1.5272,-5.818
1.7581,-5.9468
1.77,-6
1.6994,-6
1.8382,-6
1.8157,-6
1.692,-6
1.6542,-6
1.8744,-6
2.0155,-6
2.0261,-6
2.2363,-6
2.3946,-6
2.0764,-6
2.4709,-6
2.1841,-6
2.3574,-6
2.1291,-6
2.6278,-6
2.684,-6
2.6683,-6
2.2921,-6
1.9204,-6
1.3746,-6
2.3925,-6
1.7759,-6
2.3123,-6
2.0378,-6
2.712,-6
4.0928,-6
6.7868,-6
5.2269,-6
2.6952,-6
2.3527,-6
2.582,-6
2.5649,-6
2.7055,-6
2.325,-6
2.395,-6
1.8872,-6
1.9445,-6
3.1249,-6
3.5284,-6
1.655,-6
1.6628,-6
1.7872,-6
2.166,-6
2.1036,-6
2.353,-6
1.8535,-6
2.3499,-6
2.3903,-6
1.9597,-6
1.7825,-6
1.9558,-6
1.9089,-5.8912
1.9085,-5.8406
1.8748,-5.7414
1.6008,-5.4907
1.9342,-5.2141
2.4967,-5.2414
1.7604,-2.2706
1.8976,-4.7801
7.7915,-3.5535
8,-3.3095
8,-2.7747
8,-3.0053
8,-3.0053
8,-2.7499
8,-3.044
7.2283,-3.1325
