aloadp,asolarp
0.65378,-0.021129
0.84354,-0.044758
0.86369,0
0.81854,0
0.72428,0
0.66962,0
0.72142,0
0.71129,-0.013925
0.93488,-0.040875
0.90449,-0.0015806
0.92418,-0.034531
0.69597,-0.024268
0.73558,-0.05037
0.94894,0
0.97216,0
0.77548,-0.048977
0.63964,-0.037625
0.53434,-0.042228
0.54259,-0.042193
0.72665,0
0.71006,-0.00065954
0.67425,-0.00070611
0.67372,0
0.69458,0
0.87411,-0.04883
0.84028,0
0.70384,0
0.61967,-0.021362
0.64419,0
0.79669,-9.8333e-05
0.69955,-0.026674
0.89148,-0.11616
1.0889,-0.19312
1.0753,-0.25183
1.2841,-0.38879
1.2302,-0.334
0.77205,-0.33164
0.83096,-0.4339
0.89033,-0.49096
0.89,-0.48656
0.9875,-0.60306
1.0254,-0.62716
0.84998,-0.62119
0.84548,-0.56877
0.87501,-0.72178
1.2619,-0.86558
1.1719,-1.4318
0.9187,-1.5095
0.85131,-0.8185
0.78246,-1.0316
0.9844,-1.6128
1.7409,-1.7133
1.1972,-1.7815
0.82102,-2.0553
1.7723,-2.2652
2.4751,-1.7159
1.7953,-2.6722
1.5857,-2.9785
1.463,-3.2703
1.4488,-3.4715
1.6607,-3.6538
1.8511,-3.8465
1.8587,-4.0562
1.6673,-4.2052
1.6884,-4.3646
1.9833,-4.6154
1.9838,-4.7462
1.778,-4.9898
1.635,-5.1167
1.607,-5.2631
1.8015,-5.4632
1.7583,-5.6076
1.6996,-5.7721
1.5064,-5.8966
1.5445,-6
2.1816,-6
1.8566,-6
1.8261,-6
1.6324,-6
1.6435,-6
1.7278,-6
2.1423,-6
2.1768,-6
1.9434,-6
2.1023,-6
2.1346,-6
1.9675,-6
1.9496,-6
2.2492,-6
2.4168,-6
2.3809,-6
2.633,-6
2.8516,-6
2.5185,-6
2.8715,-6
2.5849,-6
2.7997,-6
2.6044,-6
3.1106,-6
3.2208,-6
2.827,-6
2.1044,-6
1.4894,-5.1377
0.89239,-4.1607
1.1964,-3.0544
0.91215,-3.0667
1.1384,-3.13
0.97786,-3.163
1.3677,-3.1148
2.0059,-3.1797
3.3279,-3.1478
2.5002,-3.205
1.282,-3.1805
1.1459,-3.1537
1.2908,-3.192
1.1969,-3.1583
1.3001,-3.1358
1.1357,-3.1677
1.1831,-3.1839
0.87894,-3.2107
0.91038,-3.1425
1.4817,-3.1438
1.748,-3.1192
0.85405,-3.1701
0.84625,-3.1719
0.90002,-3.1921
1.0442,-3.233
1.0104,-3.1587
1.1752,-3.195
0.88987,-3.1759
1.1878,-3.0784
1.1101,-3.1215
0.93964,-2.9612
0.90363,-2.8608
0.89203,-2.848
0.97677,-2.8531
0.93825,-2.7682
0.87771,-2.7475
0.79316,-2.5944
0.91061,-2.4999
1.2393,-2.4669
0.83672,-1.1228
0.90696,-2.3405
3.7684,-1.7393
4.1851,-1.5952
4.0036,-1.2977
4.3644,-1.4387
4.3485,-1.3941
3.9912,-1.2938
4.1382,-1.4865
3.5576,-1.4864
2.6258,-1.566
2.0707,-0.38531
1.784,-0.98761
1.9364,-1.6891
1.9926,-1.5946
1.4814,-1.3896
1.6976,-1.1519
2.0334,-1.2499
1.4573,-1.1895
1.842,-1.1639
1.5328,-1.1457
1.8565,-0.7305
0.81501,-0.43536
0.76937,-0.54574
0.8254,-0.58377
0.89568,-0.54604
0.82259,-0.54007
0.78634,-0.48319
0.69243,-0.40307
0.80286,-0.42949
0.83505,-0.39696
0.96533,-0.47951
1.2475,-0.58775
1.6861,-0.63003
1.933,-0.63592
2.1599,-0.68215
2.0772,-0.55007
2.0103,-0.55194
2.2976,-0.62125
2.1864,-0.52486
2.1263,-0.38491
1.9606,-0.33111
1.9738,-0.32697
2.1884,-0.36826
2.2729,-0.38465
2.1987,-0.56129
2.0937,-0.61901
2.0591,-0.63122
2.2391,-0.5422
3.5985,-0.43484
4.4848,-0.32171
2.5904,-0.26866
2.8549,-0.16685
3.1038,-0.16897
3.0843,-0.14122
3.1353,-0.090235
3.4747,-0.032602
3.2216,0
2.0102,-0.014718
1.9265,-0.021029
1.9954,0
2.0988,-0.0017409
2.2786,-0.026854
2.4279,0
2.1602,0
2.0173,0
1.8808,-0.010179
1.8623,0
1.9012,0
1.8402,-0.022169
1.7415,-0.042936
1.9767,0
2.6772,-0.0044605
1.9052,0
1.9385,-0.017125
1.9711,0
1.8908,-0.0045136
1.5488,-0.025632
1.6561,-0.0026115
1.5762,0
1.5221,-0.0054547
1.4475,-0.04175
1.3965,0
1.7054,-0.031127
1.8654,-0.041679
1.6047,0
1.2819,-0.03441
1.3288,-0.049523
1.3466,0
1.3382,0
1.2173,-0.011642
1.386,0
1.6449,-0.041674
1.933,0
1.9499,-0.042041
1.8305,-0.025139
1.8513,-0.033333
1.9287,-0.047379
3.6581,0
3.0955,-0.044225
1.7407,-0.0032411
1.5134,0
1.3923,-0.015201
1.2349,-0.0060252
1.0761,0
1.011,0
0.99791,-0.020315
1.2409,-0.025932
1.2957,-0.011375
1.1942,-0.034174
1.0901,0
1.135,-0.044548
1.2413,-0.041168
1.3118,0
1.1151,0
1.1701,0
2.6274,-0.01197
1.5005,-0.014265
1.2972,-0.022303
0.99563,-0.041746
0.82552,0
0.81056,0
1.0656,0
1.1018,0
0.98756,0
0.86232,0
0.88429,0
0.98076,0
0.98244,-0.021228
0.83218,0
0.86984,0
0.66517,0
0.8489,0
0.80327,0
0.72651,0
0.60496,0
0.69972,0
0.97159,-0.048629
1.0889,0
0.91721,-0.032458
0.87031,0
0.77109,0
1.3986,-0.019901
1.502,0
0.77852,0
0.78517,0
0.72863,-0.0244
0.76116,-0.048496
0.94301,0
1.0342,-0.049818
0.92347,-0.024081
0.81724,0
0.68947,-0.036146
0.77528,-0.0059995
0.84756,-0.035816
0.95033,0
1.0282,0
1.0464,0
0.7837,0
0.81633,0
1.0765,-0.00018847
1.0634,0
0.82653,0
0.68094,-0.038572
0.64271,-0.0069764
0.60075,-0.021523
0.76288,0
0.82384,-0.043607
0.73245,0
0.69096,-0.017379
0.83332,-0.023033
0.99763,0
1.0139,-0.036782
0.79473,-0.036805
0.64944,0
0.70076,-0.028707
0.72732,-0.070279
0.65349,-0.10713
0.69813,-0.037277
0.85581,-0.079335
0.91992,-0.20244
1.0311,-0.32511
0.97074,-0.18666
0.66632,-0.248
0.62536,-0.35613
0.67254,-0.41214
0.6471,-0.44204
0.7745,-0.48871
0.8522,-0.51624
0.68755,-0.46625
0.70636,-0.49873
0.72532,-0.6112
1.0007,-0.72179
0.93838,-1.0907
0.73391,-1.1353
0.66073,-0.58727
0.68683,-0.80599
0.81109,-1.2807
1.3679,-1.3622
0.93975,-1.4502
0.65295,-1.6187
1.3662,-1.7907
1.956,-1.4325
1.386,-2.1034
1.2037,-2.3384
1.1804,-2.546
1.1883,-2.6866
1.3174,-2.9217
1.4868,-2.9968
1.4119,-3.1247
1.3278,-3.3346
1.2613,-3.5147
1.4914,-3.6787
1.5568,-3.8176
1.4798,-3.928
1.2753,-4.0708
1.2531,-4.1966
1.436,-4.2843
1.4007,-4.408
1.3659,-4.573
1.2294,-4.6668
1.1762,-4.7709
1.7686,-4.8599
1.4277,-5.0035
1.4809,-5.081
1.3228,-5.1796
1.2548,-5.3117
1.4096,-5.4782
1.7115,-5.5572
1.7257,-5.6072
1.5142,-5.6194
1.6656,-5.7781
1.7123,-5.8221
1.5767,-5.9505
1.5069,-5.9871
1.725,-5.9858
1.9345,-6
1.9574,-6
2.0569,-6
2.1704,-6
2.0185,-6
2.2632,-6
2.0241,-6
2.1501,-6
2.077,-6
2.5138,-6
2.5082,-6
2.5874,-6
2.1997,-6
1.9235,-6
1.4399,-6
2.4023,-6
1.9094,-6
2.4201,-6
2.0999,-6
2.7989,-6
4.2723,-6
7.0602,-6
5.4271,-6
2.7717,-6
2.5087,-6
2.649,-6
2.5857,-6
2.8192,-6
2.4162,-6
2.4947,-6
1.9516,-6
2.0564,-6
3.1662,-6
3.6652,-6
1.7491,-6
1.7945,-6
1.8731,-6
2.2276,-6
2.2041,-6
2.4818,-6
1.9101,-6
2.4923,-6
2.4126,-6
2.0033,-6
1.8483,-6
2.0058,-6
2.0103,-5.9836
1.9809,-5.9476
1.8741,-5.8458
1.7059,-5.642
1.9754,-5.3206
2.5785,-5.3767
1.7781,-2.2961
1.9652,-4.924
8,-3.6454
8,-3.3229
8,-2.8073
8,-3.0874
8,-3.0069
8,-2.7917
8,-3.0477
7.5418,-3.2668
5.5591,-3.2497
4.3704,-0.86403
3.768,-2.1798
4.0868,-3.6062
4.2812,-3.4376
3.0427,-2.9146
3.6299,-2.527
4.415,-2.5953
3.1221,-2.4052
3.8082,-2.4499
3.1898,-2.3423
4.0132,-1.6052
1.6422,-0.89019
1.5909,-1.2164
1.8355,-1.2879
1.8878,-1.204
1.8193,-1.1928
1.7718,-1.0394
1.5322,-0.85123
1.6027,-0.81513
1.6533,-0.82675
1.5386,-0.68324
1.4709,-0.77686
1.6292,-0.65981
1.5989,-0.49003
1.4327,-0.47473
1.3833,-0.39271
1.3819,-0.44737
1.523,-0.45118
1.5005,-0.33633
1.4859,-0.32577
1.3868,-0.25742
1.3127,-0.17681
1.4844,-0.1895
1.4855,-0.26531
1.5117,-0.35956
1.4332,-0.44031
1.4508,-0.40308
1.5122,-0.33587
2.4097,-0.29236
3.0302,-0.22397
1.7305,-0.20864
1.9721,-0.10567
2.1558,-0.08204
2.1542,-0.1132
2.1664,-0.054106
2.3272,-0.019507
2.1426,-0.057884
1.368,0
1.2543,-0.025181
1.3095,0
1.4122,0
1.5715,0
1.6026,0
1.5027,0
1.4072,-0.020273
1.2802,0
1.3072,-0.025353
1.327,-0.032795
1.2573,-0.032624
1.1783,0
1.3394,-0.0057635
1.7731,-0.012214
1.2854,0
1.2969,-0.029788
1.3883,0
1.2793,-0.0047198
1.0483,-0.034311
1.0987,-0.023344
1.0684,0
0.99958,0
0.99185,-0.011505
0.95993,-0.045781
1.1586,0
1.2393,0
1.0626,0
0.81247,0
0.88759,0
0.93688,0
0.89976,-0.0062511
0.85558,-0.012629
0.98865,-0.047253
1.1411,-0.028412
1.3253,-0.04147
1.2553,0
1.2467,-0.010048
1.2399,-0.045449
1.2691,-0.018789
2.4731,0
2.1597,0
1.1106,-0.0074266
1.015,0
0.97678,-0.0025918
0.70786,0
0.54747,-0.025294
0.50116,0
0.40169,-0.025773
0.44441,0
0.45956,0
0.39337,-0.015231
0.38802,-0.024393
0.37528,-0.033329
0.40738,0
0.48885,0
0.35531,0
0.39056,0
0.96647,-0.0265
0.48973,0
0.44647,0
0.40061,-0.041034
0.33925,0
0.28333,-0.020525
0.34108,-0.012344
0.33746,0
0.34875,-0.0077701
0.25958,-0.027012
0.26214,-0.047365
0.37063,-0.047505
0.33803,-0.02257
0.27543,0
0.26676,-0.017317
0.25318,0
0.25651,0
0.2371,-0.044734
0.19676,-0.049183
0.22467,0
0.30127,0
0.38203,0
0.35139,0
0.32117,-0.033266
0.27866,0
0.28632,-0.028255
0.444,-0.046281
0.50791,-0.027315
0.27273,0
0.31609,-0.014954
0.23568,0
0.25894,0
0.35611,-0.03923
0.32298,0
0.3427,0
0.27011,0
0.25528,-0.047735
0.2775,-0.035091
0.30801,0
0.34221,-0.027344
0.30378,0
0.34617,-0.0074194
0.32337,-0.020061
0.32763,0
0.36725,-0.015842
0.40997,0
0.26771,-0.021554
0.28329,-0.0059046
0.26393,0
0.23849,-0.011699
0.273,-0.026331
0.26363,-0.010714
0.313,-0.030417
0.27063,-0.0065639
0.30991,0
0.39337,-0.027026
0.34105,0
0.26659,0
0.24119,-0.018111
0.25834,0
0.38807,-0.026703
0.451,-0.026245
0.57435,-0.084597
0.84418,-0.094794
0.86816,-0.15412
0.94205,-0.24757
0.94585,-0.24208
0.61933,-0.25566
0.61785,-0.30007
0.63726,-0.38095
0.63206,-0.42304
0.78011,-0.45071
0.78931,-0.46666
0.63413,-0.42933
0.59721,-0.46895
0.64677,-0.56741
0.89551,-0.65096
0.88468,-1.0889
0.70547,-1.1075
0.60761,-0.58032
0.64237,-0.74002
0.70558,-1.1788
1.3155,-1.2796
0.93801,-1.3698
0.62013,-1.5222
1.2814,-1.6655
1.8229,-1.2717
1.3668,-2.0451
1.1849,-2.2272
1.0774,-2.3558
1.0634,-2.5477
1.2221,-2.7636
1.3827,-2.886
1.3105,-2.9352
1.2079,-3.1414
1.2449,-3.3205
1.4051,-3.4209
1.4515,-3.5069
1.4037,-3.6395
1.187,-3.8549
1.2285,-3.8954
1.3385,-4.0468
1.2358,-4.1916
1.2754,-4.2718
1.0765,-4.3508
1.08,-4.4896
1.6605,-4.5608
1.395,-4.7006
1.4172,-4.7474
1.2857,-4.8627
1.2473,-5
1.3641,-5.0761
1.5517,-5.1796
1.6003,-5.3123
1.4558,-5.3156
1.6004,-5.4486
1.6343,-5.4979
1.5094,-5.5799
1.3865,-5.5843
1.6178,-5.595
1.7507,-5.6613
1.8166,-5.717
1.9505,-5.7518
2.0863,-5.8723
1.881,-5.9013
2.1216,-5.9585
1.9683,-5.9674
2.0762,-6
1.8971,-6
2.3562,-6
2.3554,-6
2.294,-5.7782
1.8292,-5.4564
1.4426,-5.1158
1.0259,-4.7597
1.616,-4.3978
1.3011,-4.427
1.6745,-4.4468
1.4019,-4.5704
1.8874,-4.5613
2.8818,-4.4732
4.7639,-4.5197
3.6587,-4.5681
1.8591,-4.5623
1.7014,-4.4974
1.7643,-4.5166
1.7461,-4.5044
1.8773,-4.4559
1.6983,-4.5429
1.6493,-4.6168
1.3611,-4.5758
1.3422,-4.5313
2.1526,-4.5197
2.4895,-4.5532
1.1322,-4.5297
1.2113,-4.5233
1.2869,-4.5671
1.5063,-4.6376
1.4601,-4.5379
1.6452,-4.5536
1.344,-4.4949
1.6411,-4.4526
1.6326,-4.4057
1.4134,-4.2198
1.2668,-4.1373
1.3538,-4.1978
1.3203,-4.0353
1.3664,-4.0155
1.2448,-3.923
1.1485,-3.7777
1.3978,-3.6044
1.7723,-3.6537
1.2557,-1.541
1.3551,-3.3595
5.4836,-2.4174
5.9092,-2.2928
5.7686,-1.8725
6.2322,-2.0959
6.1619,-1.9899
5.7795,-1.8391
5.9255,-2.1335
5.031,-2.1713
3.7852,-2.1658
2.9807,-0.5895
2.5648,-1.5094
2.7661,-2.4197
2.8688,-2.3685
2.0165,-1.9504
2.4181,-1.6939
2.9884,-1.7278
2.1156,-1.686
2.6274,-1.632
2.1873,-1.556
2.7147,-1.0916
1.138,-0.64277
1.0699,-0.83962
1.256,-0.84178
1.2915,-0.85828
1.1681,-0.75695
1.1889,-0.68114
1.1041,-0.59741
1.1018,-0.53094
1.12,-0.57019
1.1519,-0.47656
1.0997,-0.51209
1.3554,-0.45481
1.3055,-0.38641
1.2788,-0.33858
1.1862,-0.29302
1.1466,-0.32778
1.2903,-0.3631
1.3261,-0.25473
1.256,-0.28183
1.1541,-0.24577
1.1436,-0.13967
1.3129,-0.19426
1.3446,-0.26096
1.2494,-0.32107
1.1734,-0.38165
1.1951,-0.37023
