,0,aloadp,asolarp,abatteryp
1514725200,0.783399998732,0.7838255306373819,-0.000425531905382,0.0
1514725500,0.680599999689,0.6810166663463529,-0.00041666665735300016,0.0
1514725800,0.666799999177,0.6672081624331829,-0.0004081632561830001,0.0
1514726100,0.698199999444,0.698616666101353,-0.00041666665735300016,0.0
1514726400,0.884000004083,0.8844255359883819,-0.000425531905382,0.0
1514726700,0.902400010489,0.902612776441691,-0.000212765952691,0.0
1514727000,0.7895999952030001,0.790016661860353,-0.00041666665735300016,0.0
1514727300,0.766599993333,0.766808326661677,-0.00020833332867700009,0.0
1514727600,0.800999991857,0.801416658514353,-0.00041666665735300016,0.0
1514727900,0.880800004639,0.881008337967677,-0.00020833332867700009,0.0
1514728200,0.8764000084620001,0.876825540367382,-0.000425531905382,0.0
1514728500,0.773000003919,0.773638301777073,-0.0006382978580730003,0.0
1514728800,0.802400003038,0.8026083363666769,-0.00020833332867700009,0.0
1514729100,1.84519999146,1.84519999146,0.0,0.0
1514729400,1.03599999666,1.036208329988677,-0.00020833332867700009,0.0
1514729700,0.870400008224,0.87144167486738,-0.00104166664338,0.0
1514730000,0.7168000012639999,0.7170127672166909,-0.000212765952691,0.0
1514730300,0.5813999931889999,0.5816083265176769,-0.00020833332867700009,0.0
1514730600,0.566146931567,0.566785229425073,-0.0006382978580730003,0.0
1514730900,0.718066670789,0.71910833743238,-0.00104166664338,0.0
1514731200,0.7268897991399998,0.7275280969980729,-0.0006382978580730003,0.0
1514731500,0.6476980409549999,0.648531374269707,-0.000833333314707,0.0
1514731800,0.585453053834,0.585878585739382,-0.000425531905382,0.0
1514732100,0.585098035254,0.5855061985101829,-0.0004081632561830001,0.0
1514732400,0.690620408168,0.690833174120691,-0.000212765952691,0.0
1514732700,0.6858823580600001,0.6858823580600001,0.0,0.0
1514733000,0.592199994624,0.592412760576691,-0.000212765952691,0.0
1514733300,0.565799991488,0.56642499147403,-0.00062499998603,0.0
1514733600,0.4917999911680001,0.4926333244827071,-0.000833333314707,0.0
1514733900,0.571799991131,0.572008324459677,-0.00020833332867700009,0.0
1514734200,0.561999993622,0.5622127595746911,-0.000212765952691,0.0
1514734500,0.485999992043,0.48620832537167696,-0.00020833332867700009,0.0
1514734800,0.442399992794,0.442816659451353,-0.00041666665735300016,0.0
1514735100,0.5113999918850001,0.511608325213677,-0.00020833332867700009,0.0
1514735400,0.66419999063,0.66524165727338,-0.00104166664338,0.0
1514735700,0.723400000334,0.723608333662677,-0.00020833332867700009,0.0
1514736000,0.624799999595,0.624799999595,0.0,0.0
1514736300,0.578799996972,0.5790040786000911,-0.000204081628091,0.0
1514736600,0.563399998546,0.563825530451382,-0.000425531905382,0.0
1514736900,0.956000013947,0.9562083472756769,-0.00020833332867700009,0.0
1514737200,1.04480002105,1.045216687707353,-0.00041666665735300016,0.0
1514737500,0.561199993491,0.561608156747183,-0.0004081632561830001,0.0
1514737800,0.5665999938180001,0.567025525723382,-0.000425531905382,0.0
1514738100,0.534199992605,0.534412758557691,-0.000212765952691,0.0
1514738400,0.531199993193,0.531616659850353,-0.00041666665735300016,0.0
1514738700,0.617399987988,0.617608321316677,-0.00020833332867700009,0.0
1514739000,0.685799987502,0.686216654159353,-0.00041666665735300016,0.0
1514739300,0.629440811495,0.629875594093978,-0.000434782598978,0.0
1514739600,0.570396075669,0.570604408997677,-0.00020833332867700009,0.0
1514739900,0.508599994965,0.508599994965,0.0,0.0
1514740200,0.515399993099,0.5158166597563529,-0.00041666665735300016,0.0
1514740500,0.570999993086,0.570999993086,0.0,0.0
1514740800,0.686999999285,0.686999999285,0.0,0.0
1514741100,0.692600000501,0.692808333829677,-0.00020833332867700009,0.0
1514741400,0.6992000007629999,0.700033334077707,-0.000833333314707,0.0
1514741700,0.570399996936,0.570399996936,0.0,0.0
1514742000,0.563399993367,0.5638166600243529,-0.00041666665735300016,0.0
1514742300,0.707599999607,0.7082249995930301,-0.00062499998603,0.0
1514742600,0.739800018072,0.74086384783546,-0.0010638297634600002,0.0
1514742900,0.555600004196,0.5560166708533529,-0.00041666665735300016,0.0
1514743200,0.489199994653,0.489199994653,0.0,0.0
1514743500,0.442999994308,0.443208327636677,-0.00020833332867700009,0.0
1514743800,0.444877544825,0.444877544825,0.0,0.0
1514744100,0.5576470496679999,0.5580637163253529,-0.00041666665735300016,0.0
